ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300045.SZ,20231213,23.04,23.05,22.21,22.22,22.99,-0.77,-3.3493,341481.91,767031.006
300045.SZ,20231212,22.8,23.25,22.78,22.99,22.94,0.05,0.218,296055.93,680974.895
300045.SZ,20231211,22.67,23.18,22.5,22.94,22.63,0.31,1.3699,291703.53,666748.067
300045.SZ,20231208,22.43,22.87,22.39,22.63,22.43,0.2,0.8917,282915.99,640663.138
300045.SZ,20231207,22.52,22.9,22.41,22.43,22.78,-0.35,-1.5364,271057,612645.771
300045.SZ,20231206,22.86,23.37,22.7,22.78,22.97,-0.19,-0.8272,319647.53,733868.202
300045.SZ,20231205,24,24.04,22.96,22.97,24.24,-1.27,-5.2393,416421.43,970926.113
300045.SZ,20231204,23.58,24.48,23.55,24.24,23.81,0.43,1.806,411133.15,990922.767
300045.SZ,20231201,23.45,23.86,23.05,23.81,23.31,0.5,2.145,359896.62,851611.945
300045.SZ,20231130,23.65,23.84,22.86,23.31,23.85,-0.54,-2.2642,497261.9,1153701.724
300045.SZ,20231129,24.2,24.47,23.67,23.85,24.13,-0.28,-1.1604,315892.34,761001.075
300045.SZ,20231128,24.16,24.39,23.77,24.13,24.34,-0.21,-0.8628,330084.78,793756.749
300045.SZ,20231127,24.81,25.3,23.94,24.34,25.2,-0.86,-3.4127,476284.77,1162400.33
300045.SZ,20231124,26.28,26.47,24.99,25.2,26.59,-1.39,-5.2275,650572.23,1654740.323
300045.SZ,20231123,25.19,27.89,24.91,26.59,25.15,1.44,5.7256,965857.47,2567505.726
300045.SZ,20231122,26.05,26.11,24.88,25.15,26.16,-1.01,-3.8609,555772.1,1403071.175
300045.SZ,20231121,26.95,27,26.15,26.16,27.11,-0.95,-3.5042,509778.37,1349606.035
300045.SZ,20231120,26.14,27.27,26.06,27.11,26.26,0.85,3.2369,575565.13,1547004.587
300045.SZ,20231117,26.6,26.96,26.02,26.26,26.93,-0.67,-2.4879,496563.38,1307216.109
